epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,143.944,0.80911,1.11525,1.05402,0.9013,0.80411,0.60814,0.77258,0.59407,0.78752,0.4999,0.66369,0.47997,0.72503,0.86326,0.8142,0.86892,0.000175773,0.000175773,0.000175773
87,145.433,0.80665,1.11506,1.0505,0.90566,0.80411,0.60814,0.77258,0.59407,0.78752,0.4999,0.66369,0.47997,0.72503,0.86326,0.8142,0.86892,0.000176322,0.000176322,0.000176322
88,146.959,0.80813,1.00852,0.9691,0.83263,0.71256,0.69068,0.79133,0.61468,0.6628,0.59944,0.691,0.48069,0.69711,0.86358,0.7965,0.86597,0.000176834,0.000176834,0.000176834
89,148.574,0.74725,0.9302,0.92304,0.87237,0.71256,0.69068,0.79133,0.61468,0.6628,0.59944,0.691,0.48069,0.69711,0.86358,0.7965,0.86597,0.000177312,0.000177312,0.000177312
90,150.161,0.86339,1.11467,1.02074,0.8755,0.71256,0.69068,0.79133,0.61468,0.6628,0.59944,0.691,0.48069,0.69711,0.86358,0.7965,0.86597,0.000177754,0.000177754,0.000177754
91,151.675,0.75103,0.90755,0.84691,0.87315,0.71256,0.69068,0.79133,0.61468,0.6628,0.59944,0.691,0.48069,0.69711,0.86358,0.7965,0.86597,0.000178161,0.000178161,0.000178161
92,153.259,0.76754,0.88217,0.92031,0.85279,0.86743,0.62648,0.79916,0.63213,0.79294,0.53936,0.6883,0.45813,0.66601,0.90371,0.74197,0.85759,0.000178532,0.000178532,0.000178532
93,154.7,0.74704,1.01713,0.91423,0.85555,0.86743,0.62648,0.79916,0.63213,0.79294,0.53936,0.6883,0.45813,0.66601,0.90371,0.74197,0.85759,0.000178868,0.000178868,0.000178868
94,156.14,0.74027,0.90872,0.865,0.87177,0.86743,0.62648,0.79916,0.63213,0.79294,0.53936,0.6883,0.45813,0.66601,0.90371,0.74197,0.85759,0.000179169,0.000179169,0.000179169
95,157.612,0.74447,0.89254,0.93553,0.87874,0.86743,0.62648,0.79916,0.63213,0.79294,0.53936,0.6883,0.45813,0.66601,0.90371,0.74197,0.85759,0.000179435,0.000179435,0.000179435
96,159.084,0.72457,1.01062,0.87119,0.90875,0.73946,0.74839,0.80035,0.63214,0.65673,0.61673,0.66421,0.44569,0.64459,0.88135,0.73728,0.85038,0.000179665,0.000179665,0.000179665
97,160.57,0.71872,0.91824,0.84659,0.87435,0.73946,0.74839,0.80035,0.63214,0.65673,0.61673,0.66421,0.44569,0.64459,0.88135,0.73728,0.85038,0.000179859,0.000179859,0.000179859
98,162.005,0.84863,1.00345,0.99079,0.88057,0.73946,0.74839,0.80035,0.63214,0.65673,0.61673,0.66421,0.44569,0.64459,0.88135,0.73728,0.85038,0.000180019,0.000180019,0.000180019
99,163.457,0.7941,1.01417,0.96437,0.89564,0.73946,0.74839,0.80035,0.63214,0.65673,0.61673,0.66421,0.44569,0.64459,0.88135,0.73728,0.85038,0.000180143,0.000180143,0.000180143
100,164.917,0.81043,0.92127,0.95101,0.86322,0.75518,0.70918,0.81083,0.64109,0.6724,0.61705,0.68233,0.46227,0.64516,0.82095,0.73078,0.85029,0.000180232,0.000180232,0.000180232
101,166.425,0.68897,0.8692,0.82729,0.87813,0.75518,0.70918,0.81083,0.64109,0.6724,0.61705,0.68233,0.46227,0.64516,0.82095,0.73078,0.85029,0.000180285,0.000180285,0.000180285
102,167.948,0.70755,0.8656,0.82187,0.86947,0.75518,0.70918,0.81083,0.64109,0.6724,0.61705,0.68233,0.46227,0.64516,0.82095,0.73078,0.85029,0.000178518,0.000178518,0.000178518
103,169.437,0.7785,1.06349,0.94318,0.88777,0.75518,0.70918,0.81083,0.64109,0.6724,0.61705,0.68233,0.46227,0.64516,0.82095,0.73078,0.85029,0.000176751,0.000176751,0.000176751
104,170.944,0.76049,1.0506,0.91328,0.85867,0.85672,0.67251,0.8247,0.66244,0.78704,0.59129,0.70516,0.48292,0.63815,0.80615,0.696,0.85293,0.000174984,0.000174984,0.000174984
105,172.462,0.72041,0.88611,0.81944,0.85453,0.85672,0.67251,0.8247,0.66244,0.78704,0.59129,0.70516,0.48292,0.63815,0.80615,0.696,0.85293,0.000173216,0.000173216,0.000173216
106,173.968,0.70544,0.93287,0.82716,0.8595,0.85672,0.67251,0.8247,0.66244,0.78704,0.59129,0.70516,0.48292,0.63815,0.80615,0.696,0.85293,0.000171449,0.000171449,0.000171449
107,175.526,0.72895,0.91472,0.82426,0.84645,0.85672,0.67251,0.8247,0.66244,0.78704,0.59129,0.70516,0.48292,0.63815,0.80615,0.696,0.85293,0.000169682,0.000169682,0.000169682
108,177.076,0.81031,1.0619,0.97008,0.88799,0.87362,0.67504,0.82865,0.66663,0.79506,0.60534,0.71984,0.493,0.63546,0.79869,0.67079,0.85278,0.000167915,0.000167915,0.000167915
109,178.67,0.64597,0.82063,0.78979,0.87341,0.87362,0.67504,0.82865,0.66663,0.79506,0.60534,0.71984,0.493,0.63546,0.79869,0.67079,0.85278,0.000166148,0.000166148,0.000166148
110,180.215,0.63111,0.85601,0.74948,0.87022,0.87362,0.67504,0.82865,0.66663,0.79506,0.60534,0.71984,0.493,0.63546,0.79869,0.67079,0.85278,0.000164381,0.000164381,0.000164381
111,181.733,0.63586,0.81475,0.74858,0.86625,0.87362,0.67504,0.82865,0.66663,0.79506,0.60534,0.71984,0.493,0.63546,0.79869,0.67079,0.85278,0.000162613,0.000162613,0.000162613
112,183.268,0.72537,0.98074,0.82727,0.84599,0.93154,0.68526,0.83887,0.67763,0.85172,0.61637,0.73328,0.50246,0.61145,0.77384,0.63364,0.8439,0.000160846,0.000160846,0.000160846
113,184.82,0.74417,0.91235,0.82215,0.85585,0.93154,0.68526,0.83887,0.67763,0.85172,0.61637,0.73328,0.50246,0.61145,0.77384,0.63364,0.8439,0.000159079,0.000159079,0.000159079
114,186.26,0.72778,0.92897,0.83536,0.85552,0.93154,0.68526,0.83887,0.67763,0.85172,0.61637,0.73328,0.50246,0.61145,0.77384,0.63364,0.8439,0.000157312,0.000157312,0.000157312
115,187.735,0.69074,0.87581,0.7896,0.84663,0.93154,0.68526,0.83887,0.67763,0.85172,0.61637,0.73328,0.50246,0.61145,0.77384,0.63364,0.8439,0.000155545,0.000155545,0.000155545
116,189.268,0.68783,0.88776,0.76433,0.87956,0.90174,0.71852,0.86659,0.69908,0.86417,0.62184,0.75517,0.51833,0.59397,0.75446,0.63103,0.83614,0.000153778,0.000153778,0.000153778
117,190.712,0.67812,0.85706,0.85304,0.84108,0.90174,0.71852,0.86659,0.69908,0.86417,0.62184,0.75517,0.51833,0.59397,0.75446,0.63103,0.83614,0.000152011,0.000152011,0.000152011
118,192.198,0.77507,1.01862,0.90344,0.85739,0.90174,0.71852,0.86659,0.69908,0.86417,0.62184,0.75517,0.51833,0.59397,0.75446,0.63103,0.83614,0.000150243,0.000150243,0.000150243
119,194.12,0.67541,0.86588,0.80232,0.85415,0.90174,0.71852,0.86659,0.69908,0.86417,0.62184,0.75517,0.51833,0.59397,0.75446,0.63103,0.83614,0.000148476,0.000148476,0.000148476
120,195.665,0.72978,0.98063,0.81171,0.85757,0.88258,0.75103,0.86009,0.70636,0.84746,0.63757,0.76356,0.52848,0.58908,0.74589,0.60739,0.83449,0.000146709,0.000146709,0.000146709
121,197.188,0.62642,0.7678,0.72994,0.86263,0.88258,0.75103,0.86009,0.70636,0.84746,0.63757,0.76356,0.52848,0.58908,0.74589,0.60739,0.83449,0.000144942,0.000144942,0.000144942
122,198.704,0.6907,0.92226,0.75127,0.8599,0.88258,0.75103,0.86009,0.70636,0.84746,0.63757,0.76356,0.52848,0.58908,0.74589,0.60739,0.83449,0.000143175,0.000143175,0.000143175
