epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,36552.9,0.57542,0.96425,0.38187,0.87949,0.88509,0.80828,0.86262,0.67848,0.86597,0.78487,0.8296,0.57343,0.49257,0.8367,0.30109,0.83436,0.000519875,0.000519875,0.000519875
61,37024.5,0.56595,0.94744,0.37836,0.87686,0.88113,0.82,0.86597,0.67887,0.85931,0.79364,0.83091,0.57405,0.49028,0.83152,0.29604,0.83382,0.0005075,0.0005075,0.0005075
62,37390.4,0.57192,0.96367,0.3786,0.87926,0.89241,0.81249,0.86797,0.68266,0.86767,0.78938,0.84053,0.57364,0.48706,0.82945,0.29425,0.83203,0.000495125,0.000495125,0.000495125
63,37893.3,0.56891,0.95033,0.37234,0.87429,0.89614,0.80702,0.86512,0.68349,0.8832,0.78319,0.83278,0.57354,0.48461,0.82548,0.29402,0.83108,0.00048275,0.00048275,0.00048275
64,38533.3,0.56351,0.94246,0.3693,0.8734,0.88402,0.82362,0.87183,0.6916,0.89017,0.7897,0.84545,0.59078,0.48212,0.82141,0.28923,0.8308,0.000470375,0.000470375,0.000470375
65,38938.3,0.56463,0.94894,0.36848,0.87565,0.88994,0.82397,0.87286,0.69204,0.8703,0.79975,0.84242,0.57968,0.48067,0.82138,0.29228,0.83221,0.000458,0.000458,0.000458
66,39305.3,0.55962,0.93485,0.3654,0.87389,0.89518,0.81334,0.87073,0.69328,0.89117,0.78798,0.84285,0.58437,0.47791,0.81481,0.28882,0.82896,0.000445625,0.000445625,0.000445625
67,39762.1,0.56292,0.94087,0.36434,0.87382,0.89809,0.82586,0.87432,0.69788,0.88767,0.79429,0.83813,0.58563,0.47503,0.81267,0.28206,0.82597,0.00043325,0.00043325,0.00043325
68,40137.7,0.5581,0.93664,0.36137,0.87231,0.89934,0.82488,0.87769,0.70187,0.88367,0.79779,0.85159,0.58645,0.4729,0.8079,0.28365,0.82694,0.000420875,0.000420875,0.000420875
69,40524.2,0.55607,0.92525,0.35811,0.87044,0.89052,0.82969,0.87917,0.70581,0.88482,0.79543,0.8472,0.58773,0.47151,0.80604,0.28113,0.82657,0.0004085,0.0004085,0.0004085
70,40904.3,0.55728,0.92986,0.36056,0.87097,0.89734,0.83132,0.87898,0.70634,0.88807,0.80402,0.84843,0.5926,0.47074,0.80054,0.27926,0.82428,0.000396125,0.000396125,0.000396125
71,41401.1,0.5526,0.92202,0.35435,0.87027,0.89276,0.83928,0.8812,0.70882,0.86972,0.81192,0.85171,0.59589,0.46676,0.79868,0.2764,0.82415,0.00038375,0.00038375,0.00038375
72,41783.2,0.54841,0.91873,0.35048,0.86892,0.90834,0.83589,0.88233,0.70921,0.88178,0.80904,0.85518,0.59639,0.46336,0.79399,0.27437,0.82366,0.000371375,0.000371375,0.000371375
73,42146.7,0.54537,0.9081,0.35036,0.86883,0.90585,0.83974,0.88355,0.70912,0.88683,0.8108,0.85075,0.59706,0.4614,0.79244,0.27226,0.82414,0.000359,0.000359,0.000359
74,42758.8,0.54363,0.9047,0.34681,0.86811,0.90793,0.8406,0.88625,0.71648,0.90061,0.80582,0.86118,0.604,0.45906,0.78941,0.26969,0.82244,0.000346625,0.000346625,0.000346625
75,43125.1,0.54411,0.90333,0.34135,0.86765,0.91197,0.84377,0.88536,0.7181,0.89018,0.81385,0.85516,0.60117,0.45641,0.78333,0.26623,0.82235,0.00033425,0.00033425,0.00033425
76,43490,0.54189,0.90181,0.34184,0.86691,0.91794,0.84068,0.88761,0.7189,0.89976,0.8111,0.85641,0.60432,0.45378,0.77938,0.26328,0.82076,0.000321875,0.000321875,0.000321875
